banda_frecuencia,count
614–694 MHz,2
1427–1432 MHz,2
1645.5–1646.5 MHz,2
1880–1920 MHz,2
694/698–960 MHz,2
1710–2200 MHz,2
2120–2160 MHz,2
2160–2170 MHz,2
Satellite L-band (1–2 GHz),2
Satellite S-band (2–4 GHz),2
Terrestrial mid-band (2.4 GHz),2
2483.5–2495 MHz (Band 53/n53),2
874–876 MHz,2
915–921 MHz,2
upper 6 GHz,2
400 MHz,2
14.8-15.35 GHz,2
70/80/90 GHz,2
3.98-4.2 GHz,2
Bandas Q/V/E,2
410/450 MHz,2
Multibanda,2
4.2 GHz,2
3.4 GHz,2
Upper C-band,2
3450-3500 MHz,1
3650-3800 MHz,1
Bandas IMT,1
Frecuencias de radio AM,1
Frecuencias de radio FM,1
Canales de televisión digital terrestre,1
1.9 GHz PCS,1
Band L,1
Low bands,1
Mid bands,1
High bands,1
5.8 GHz,1
6585–7125 MHz,1
6425–6585 MHz,1
57–71 GHz,1
37–43.5 GHz,1
45.5–47.0 GHz,1
37.5–40.5 GHz,1
25.5–25.9 GHz,1
26.5–27.5 GHz,1
24.3–24.9 GHz,1
"25,081–25,445 MHz",1
"26,089–26,453 MHz",1
24.65–27.5 GHz,1
24.25–24.65 GHz,1
57–59 GHz,1
59–71 GHz,1
24.65–25.25 GHz,1
24.5–26.45 GHz,1
24.7–27.1 GHz,1
24.3–24.7 GHz,1
27.1–27.5 GHz,1
1452–1492 MHz,1
1427–1452 MHz,1
1492–1517 MHz,1
1492–1518 MHz,1
703–733 MHz,1
758–788 MHz,1
694–703 MHz,1
733–758 MHz,1
698–703 MHz,1
753–758 MHz,1
733–736 MHz,1
788–791 MHz,1
738–758 MHz,1
736–753 MHz,1
694–698 MHz,1
736–738 MHz,1
743–758 MHz,1
380–470 MHz,1
410–415 MHz,1
420–425 MHz,1
412–417 MHz,1
422–427 MHz,1
3.3–4.2 GHz,1
Rango de banda media (2–7 GHz),1
1600/2400 MHz,1
10–30 GHz,1
57-71 GHz,1
D-Band,1
863–868 MHz,1
3655–3695 MHz,1
4900–5000 MHz,1
5725–5875 MHz,1
5875–5935 MHz,1
Bandas IMT terrestres,1
Bandas de espectro MSS,1
Bandas de frecuencia (mención general),1
32 GHz,1
Bandas de dividendo digital,1
Hasta 300 GHz,1
2 a 300 GHz,1
Menos de 2 GHz,1
400 MHz a 300 GHz,1
6 a 300 GHz,1
Por encima de 24 GHz,1
Banda de 2 GHz,1
Bandas de frecuencia satelitales,1
450-870 MHz,1
694-790 MHz,1
790-960 MHz,1
870 MHz-2.5 GHz,1
1710-2200 MHz,1
1900-2300 MHz,1
2.3-2.69 GHz,1
2.5-3.8 GHz,1
2.69-3.4 GHz,1
3.8-24 GHz,1
24-86 GHz,1
24.5-26.5 GHz,1
Between 1 GHz and 2.2 GHz,1
Between 2.2 GHz and 24 GHz,1
0-87.5 MHz,1
108-174 MHz,1
235-380 MHz,1
87.5-108 MHz,1
174-235 MHz,1
380-470 MHz,1
470-960 MHz,1
"960-4,200 MHz",1
"4,200-12,750 MHz",1
"12,750-43,500 MHz",1
"43,500 MHz-92,000 MHz",1
Above 92 GHz,1
Bandas sub-1 GHz,1
Bandas entre 1 GHz y 2.2 GHz,1
Bandas entre 2.2 GHz y 24 GHz,1
Bandas entre 24 GHz y 86 GHz,1
Bandas por encima de 86 GHz,1
Bandas por debajo de 1 GHz,1
26.5-27.5 GHz,1
L-band (1-2 GHz),1
S-band (2-4 GHz),1
C-band (4-8 GHz),1
X-band (8-12 GHz),1
K-band (18-27 GHz),1
V-band (40-75 GHz),1
71-76 GHz,1
81-86 GHz,1
17.3-17.7 GHz,1
18.8-19.3 GHz,1
27.5-29.1 GHz,1
29.5-30 GHz,1
18.8-20.2 GHz,1
27.5-30 GHz,1
1 GHz a 100 GHz,1
300 MHz a 300 GHz,1
Banda de 60 GHz,1
10.7–11.7 GHz,1
14.5–15.35 GHz,1
17.7–19.7 GHz,1
37–40.5 GHz,1
71–76 GHz,1
81–86 GHz,1
Bandas por encima de 95 GHz,1
2.4 GHz (2400–2483.5 MHz),1
5 GHz (5150–5850 MHz),1
6525–6875 MHz,1
7110–7725 MHz,1
Millimetre wave spectrum,1
3.45-4 GHz,1
3.65-3.9 GHz,1
3400-3600 MHz,1
2.5-2.69 MHz,1
3.3-3.4 GHz,1
4.8-4.9 GHz,1
24.25-27.5 GHz,1
3.4-3.7 GHz,1
Above 24 GHz,1
3.45–4 GHz,1
3.65–3.9 GHz,1
3.45–3.65 GHz,1
2.5–2.69 GHz,1
3400 MHz,1
3 kHz a 300 GHz,1
2 GHz a 300 GHz,1
9 KHz a 2700 MHz,1
2700 MHz a 300 GHz,1
470–512 MHz,1
698–806 MHz,1
Canal 69,1
Canales 52–69,1
Canales 14 y 15,1
Canal 51,1
512–698 MHz,1
3.3–3.98 GHz,1
3300–3800 MHz,1
3300–3400 MHz,1
3600–3700 MHz,1
3700–3800 MHz,1
3450–3650 MHz,1
3650–3900 MHz,1
3900–3980 MHz,1
10150–10650 MHz,1
66–71 GHz (66 GHz),1
45.5–47 GHz (47 GHz),1
54–72 MHz,1
512–608 MHz,1
76–88 MHz,1
657–663 MHz,1
470–698 MHz,1
470–488 MHz,1
614–644 MHz,1
644–698 MHz,1
470–692 MHz,1
AWS-3 (1700–2100 MHz),1
AWS-3 (1700-2100 MHz),1
2500 MHz,1
Todas las bandas de espectro,1
Banda AWS,1
PCS-G,1
Banda milimétrica,1
<1 GHz,1
1-3 GHz,1
AWS (1700-2100 MHz),1
AWS-1 (1710-1755/2110-2155 MHz),1
PCS,1
1.7 GHz,1
SMR,1
3.75-3.8 GHz,1
3.9 GHz,1
410-415 MHz,1
420-425 MHz,1
806-809 MHz,1
851-854 MHz,1
2390-2400 MHz,1
2485-2495 MHz,1
27.5-27.9 GHz,1
3900-3980 MHz,1
3.55-3.65 GHz,1
896-901 MHz,1
935-940 MHz,1
3475–3650 MHz,1
905–915 MHz,1
950–960 MHz,1
890–960 MHz,1
902–940 MHz,1
947–960 MHz,1
SMR 806–824 MHz,1
SMR 851–869 MHz,1
2300–2330 MHz,1
12–18 GHz,1
410–4230 MHz,1
5.2–5.9 GHz,1
433.05–434.79 MHz,1
868.175–868.375 MHz,1
915–928 MHz,1
5470–5725 MHz,1
5725–5850 MHz,1
928–935 MHz,1
ISM,1
12 GHz (12.2–12.7 GHz),1
Espectro 4G,1
Banda L,1
Banda AWS-3,1
1990–2025/2170–2200 MHz,1
1980–2025 MHz,1
1850–1910/930–1990 MHz,1
2300-2340 MHz,1
2340-2360 MHz,1
2360-2400 MHz,1
Band n41,1
1900 MHz (TDD),1
4.9 GHz,1
27.5–28.35 GHz,1
38 GHz band,1
850 MHz (824–849/869–894 MHz),1
AWS (1710–1755/2110–2155 MHz y 1755–1780/2155–2180 MHz),1
PCS (1850–1915/1930–1995 MHz),1
694/698 MHz y 2.7 GHz,1
1900 MHz (PCS),1
2500–2570 MHz,1
703–748 MHz,1
758–803 MHz,1
824–849 MHz,1
869–894 MHz,1
1710–1770 MHz,1
1850–1990 MHz,1
2110–2160 MHz,1
Bandas bajas (<1 GHz),1
Bandas medias (1-3 GHz),1
897–902 MHz,1
942–947 MHz,1
902–912 MHz,1
947–957 MHz,1
902–907 MHz,1
947–952 MHz,1
24.45–25.1 GHz,1
25.1-27.5 GHz,1
24.45-25.1 GHz,1
26.7–27.5 GHz,1
41.5–42.5 GHz,1
25.1–25.9 GHz,1
40.5–41.5 GHz,1
25.9–26.7 GHz,1
Bandas móviles por debajo de 3 GHz,1
2.7–3.1 GHz,1
1905–1910 MHz,1
1985–1990 MHz,1
1890–1895 MHz,1
1970–1975 MHz,1
814–824 MHz,1
859–869 MHz,1
1850–1915 MHz,1
1930–1995 MHz,1
3400–3700 MHz,1
10.15–10.65 GHz,1
Banda AM,1
Banda FM,1
1.9 GHz (PCS),1
1900–1905 MHz,1
1980–1985 MHz,1
Espectro de banda media,1
3500–3700 MHz,1
24.05–24.25 GHz,1
57–64 GHz,1
11.7–12.2 GHz,1
14.0–14.5 GHz,1
10.95–11.2 GHz,1
11.45–11.7 GHz,1
13.75–14.0 GHz,1
C band,1
C band (3.8–4.2 GHz),1
AWS (1700/2100 MHz),1
3.7–4.2 GHz (FSS),1
4.2–4.4 GHz (Aeronautical Radionavigation Service),1
3500–3550 MHz,1
3550–3600 MHz,1
3600–3650 MHz,1
3650–3700 MHz,1
3300–3350 MHz,1
3350–3400 MHz,1
3400–3450 MHz,1
3450–3500 MHz,1
Bandas bajas y medias,1
5925–7125 MHz,1
3.3-3.7 GHz,1
3.7-4.2 GHz (Fixed Satellite Service),1
4.2-4.4 GHz (Aeronautical Radionavigation Service),1
2300–2320 MHz,1
2320–2330 MHz,1
3400–3420 MHz,1
3400–3410 MHz,1
3410–3420 MHz,1
2390–2400 MHz,1
2320-2330 MHz,1
1500 MHz SDL,1
Banda por debajo de 1 GHz,1
PCS G Block,1
1910–1915 MHz (earth-to-space),1
1990–1995 MHz (space-to-earth),1
12.7–13.25 GHz,1
42–42.5 GHz,1
92–114.25 GHz (W band),1
2000–2020 MHz,1
2180–2200 MHz,1
AWS-4 bands,1
1980–2010 MHz,1
37–37.2 GHz,1
1.3-10.5 GHz,1
3.1-3.45 GHz,1
7.4-8.4 GHz,1
AWS-4 (2000–2020/2180–2200 MHz),1
H block (1915–1920/1995–2000 MHz),1
"AWS (1710-1755/2110-2155 MHz, 1710-1780/2110-2200 MHz)",1
5G band n252,1
LTE band 25,1
LTE band 4,1
5G band n4,1
LTE band 66,1
5G band n66,1
LTE bands 2 and 25,1
5G band n2 and n25,1
3.98–4.16 GHz,1
3.98–4.08 GHz,1
4–8 GHz,1
896–901 MHz,1
935–940 MHz,1
2x5 MHz,1
2x3 MHz,1
Band 106,1
Band n106,1
880–915 MHz,1
925–960 MHz,1
Band 8,1
Band n8,1
2x12.5 kHz,1
Low-band spectrum,1
AWS-4,1
H-Block,1
1610–1626.5 MHz,1
2483.5–2500 MHz,1
1.5 GHz MSS,1
14.5–14.8 GHz,1
17.3–17.8 GHz,1
18.6–18.8 GHz,1
92.0–94.0 GHz,1
94.1–95.0 GHz,1
95.0–100.0 GHz,1
102.0–109.5 GHz,1
111.8–114.25 GHz,1
Bandas de espectro,1
Frecuencias,1
Bandas terrestres (IMT),1
Bandas satelitales (MSS),1
Banda MSS de 2 GHz,1
Bandas de espectro satelital,1
Bandas móviles,1
Bandas Sub-THz,1
Banda de 2 GHz (1980–2010/2170–2200 MHz),1
Mobile bands,1
2110–2120 MHz,1
Below 2.7 GHz,1
169 MHz,1
862–870 MHz,1
116–260 GHz,1
2 GHz MSS (1980–2010 / 2170–2200 MHz),1
3.4–4.2 GHz,1
380 MHz,1
470–852 MHz,1
694–790 MHz,1
874.4–880 MHz,1
919.4–925 MHz,1
1900–1910 MHz,1
1427–1517 MHz (L-band),1
1.5 GHz (1452–1492 MHz),1
1710–1785 MHz,1
1805–1880 MHz,1
1920–1980 MHz,1
2110–2170 MHz,1
1980–2010 MHz (S-band),1
2170–2200 MHz (S-band),1
3400–3800 MHz,1
"Banda de 2 GHz (1980–2010 MHz, 2170–2200 MHz)",1
Banda L (1–2 GHz),1
Banda S (2–4 GHz),1
Banda K (18–27 GHz),1
"Banda V (37.5–43.5 GHz, 47.2–50.2 GHz, 50.4–52.4 GHz)",1
47.2–50.2 GHz,1
50.4–51.4 GHz,1
13.75–14 GHz,1
Above 76 GHz,1
Above 86 GHz,1
4200–4400 MHz,1
8400–8500 MHz,1
4400-4800 MHz,1
7125-8400 MHz,1
694/698 MHz-2.7 GHz,1
Q/V-band,1
12.7-13.25 GHz,1
51.4-52.4 GHz,1
100-400 GHz (sub-THz),1
Bandas por encima de 100 GHz,1
52 GHz,1
90 GHz,1
5.850-5.925 GHz,1
5030-5091 MHz,1
Bandas medias-altas,1
IMT,1
MSS,1
Bandas IMT existentes,1
"Bandas IMT bajas, medias y altas",1
Bandas satelitales,1
Bandas candidatas para 6G,1
Bandas futuras IMT,1
Bandas MSS,1
IMT/MSS,1
Bandas candidatas IMT-2030,1
410-470 MHz,1
23 GHz,1
39.8-42 GHz,1
3.3-3.8 GHz,1
Bandas satelitales (Q/V/E),1
Bandas licenciadas/no licenciadas,1
Bandas de microondas (E/W/D),1
Bandas 2G/3G/4G/5G,1
942-947 MHz,1
947 MHz,1
703-748 MHz,1
758-803 MHz,1
748 MHz,1
803 MHz,1
5925–6585 MHz,1
6585 MHz,1
6425-6585 MHz,1
6585-7100 MHz,1
515 MHz,1
7100 MHz,1
1710–1780 MHz,1
2110–2200 MHz,1
1780 MHz,1
2200 MHz,1
1618–1626 MHz,1
1626 MHz,1
20.2 GHz,1
708-718 MHz,1
763-773 MHz,1
6.425–7.125 GHz,1
7.125-7.250 GHz,1
7.250 GHz,1
7.125-7.225 GHz,1
3.6-3.7 GHz,1
7.225 GHz,1
216 MHz,1
608 MHz,1
470–614 MHz,1
614 MHz,1
26.5 GHz,1
935-944 MHz,1
944-953 MHz,1
953 MHz,1
226 MHz,1
4.2-4.4 GHz,1
8.4–8.5 GHz,1
6.425-7.25 GHz,1
4.4 GHz,1
8.5 GHz,1
6.9 GHz,1
1430-1444 MHz,1
4 GHz,1
1444 MHz,1
1.4 GHz,1
180 MHz,1
3.98–4.0 GHz,1
4.0 GHz,1
100 MHz,1
3.89-4.2 GHz,1
4.0-4.2 GHz,1
7-8 GHz,1
3600 MHz,1
470–510 MHz,1
510 MHz,1
440–470 MHz,1
8 GHz,1
66 GHz,1
Banda baja,1
Banda media,1
Sub-7 GHz,1
Low-band (below 1 GHz),1
Mid-band (1-8.4 GHz),1
High-band (above 24 GHz),1
1700 MHz,1
4.8 GHz,1
3.5–3.8 GHz,1
Mid-bands,1
High-band spectrum,1
Low bands (<1 GHz),1
Coverage bands,1
