senal_regulatoria,tema_estrategico,linea_pmge,tipo_insumo_agenda,relevancia_label,num_documentos,num_fuentes,fuentes,tecnologias,bandas_frecuencia,evidencia,relevancia_score_promedio,actividad_score_promedio,prioridad_score
Adquisición de Globalstar por Amazon y sus implicaciones para la conectividad satelital y el espectro,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"LEO, D2D, Mobile Satellite Services (MSS), NTN, Redes satelitales, RAN platform","Satellite L-band (1–2 GHz), Satellite S-band (2–4 GHz), Terrestrial mid-band (2.4 GHz), 2483.5–2495 MHz (Band 53/n53)","Conectividad satelital, NTN y D2D; tecnologías: LEO, D2D, Mobile Satellite Services (MSS), NTN; bandas: Satellite L-band (1–2 GHz), Satellite S-band (2–4 GHz), Terrestrial mid-band (2.4 GHz), 2483.5–2495 MHz (Band 53/n53).",10.0,3.0,13.0
Ajuste regulatorio y límites de espectro en Colombia,"6 GHz, Wi-Fi e IMT",Disponibilidad de espectro,Seguimiento,Alta,1,1,Cullen International,Telecomunicaciones móviles,"Bandas bajas (<1 GHz), Bandas medias (1-3 GHz), 6 GHz","6 GHz, Wi-Fi e IMT; tecnologías: Telecomunicaciones móviles; bandas: Bandas bajas (<1 GHz), Bandas medias (1-3 GHz), 6 GHz.",10.0,3.0,13.0
Anulación de la base legal de la subasta 5G alemana por sesgo regulatorio,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Redes móviles","2.1 GHz, 3.4–3.7 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Redes móviles; bandas: 2.1 GHz, 3.4–3.7 GHz.",10.0,3.0,13.0
Anatel adopta reglas para la subasta de bloques regionales de espectro de 700 MHz,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"4G, 5G","700 MHz, 3.5 GHz, 708–718 MHz, 763–773 MHz, Bandas bajo 1 GHz","Disponibilidad de espectro para IMT; tecnologías: 4G, 5G; bandas: 700 MHz, 3.5 GHz, 708–718 MHz, 763–773 MHz.",10.0,3.0,13.0
Anuncio de reglas para subasta multibanda de espectro en República Dominicana,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Redes móviles, Conectividad inalámbrica","700 MHz, 850 MHz, AWS, 2300 MHz, 3.5 GHz, 26 GHz, Bandas bajas, Bandas medias, Bandas altas","Disponibilidad de espectro para IMT; tecnologías: 5G, Redes móviles, Conectividad inalámbrica; bandas: 700 MHz, 850 MHz, AWS, 2300 MHz.",10.0,3.0,13.0
Análisis comparativo de tarifas recurrentes por el uso del espectro móvil en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Comunicaciones móviles, Enlaces de microondas","700 MHz, 800 MHz, 900 MHz, 1.5 GHz, 1.8 GHz, 2.1 GHz, 2.6 GHz, 3.5 GHz, 26 GHz, 42 GHz, Bandas sub-1 GHz, Bandas entre 1 GHz y 2.2 GHz, Bandas entre 2.2 GHz y 24 GHz, Bandas entre 24 GHz y 86 GHz, Bandas por encima de 86 GHz","Disponibilidad de espectro para IMT; tecnologías: Comunicaciones móviles, Enlaces de microondas; bandas: 700 MHz, 800 MHz, 900 MHz, 1.5 GHz.",10.0,3.0,13.0
Apertura de bandas de baja frecuencia en Europa para LTE/5G,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"LTE, 5G, Smart meters, IoT","410-430 MHz, 450-470 MHz","Disponibilidad de espectro para IMT; tecnologías: LTE, 5G, Smart meters, IoT; bandas: 410-430 MHz, 450-470 MHz.",10.0,3.0,13.0
Análisis de resultados y precios de adjudicaciones de espectro en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"UMTS, 5G, 4G, GSM","800 MHz, 900 MHz, 1800 MHz, 2.1 GHz, 2.3 GHz, 2.6 GHz, 3.4-3.8 GHz, 3.5 GHz, 3.6-3.8 GHz, 700 MHz","Disponibilidad de espectro para IMT; tecnologías: UMTS, 5G, 4G, GSM; bandas: 800 MHz, 900 MHz, 1800 MHz, 2.1 GHz.",10.0,3.0,13.0
Análisis de resultados y precios de subastas de espectro en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"UMTS, GSM, 4G, 5G","800 MHz, 900 MHz, 1800 MHz, 2.1 GHz, 2.3 GHz, 2.6 GHz, 3.4-3.8 GHz, 3.5 GHz, 3.6-3.8 GHz, 700 MHz","Disponibilidad de espectro para IMT; tecnologías: UMTS, GSM, 4G, 5G; bandas: 800 MHz, 900 MHz, 1800 MHz, 2.1 GHz.",10.0,3.0,13.0
Análisis de tarifas del espectro para servicios satelitales móviles en la UE,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Servicios Satelitales Móviles (MSS), NTN, Estaciones terrenas satelitales, Componentes Terrestres Complementarios (CGC), Redes satelitales geoestacionarias (GSO) y no geoestacionarias (NGSO)","Banda de 2 GHz, Bandas de frecuencia satelitales","Conectividad satelital, NTN y D2D; tecnologías: Servicios Satelitales Móviles (MSS), NTN, Estaciones terrenas satelitales, Componentes Terrestres Complementarios (CGC); bandas: Banda de 2 GHz, Bandas de frecuencia satelitales.",10.0,3.0,13.0
Análisis del uso y desafíos de la banda de 450 MHz para servicios LTE y banda ancha en América,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"LTE, Broadband, IMT, IoT, 5G","450 MHz, 450–470 MHz, 410–430 MHz, 470–608 MHz, 470–512 MHz, 452.5–457.5 MHz, 462.5–467.5 MHz, 451–456 MHz, 461–466 MHz, 450–455 MHz, 460–465 MHz","Disponibilidad de espectro para IMT; tecnologías: LTE, Broadband, IMT, IoT; bandas: 450 MHz, 450–470 MHz, 410–430 MHz, 470–608 MHz.",10.0,3.0,13.0
Aprobación de transacciones de espectro para 5G y servicios satelitales D2D en EE. UU.,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, D2D, Fixed Wireless Access (FWA), Starlink, NTN, MVNO (Mobile Virtual Network Operator)","Mid-band spectrum, Low-band spectrum, 3.5 GHz, 600 MHz, AWS-3, AWS-4, H-Block","Conectividad satelital, NTN y D2D; tecnologías: 5G, D2D, Fixed Wireless Access (FWA), Starlink; bandas: Mid-band spectrum, Low-band spectrum, 3.5 GHz, 600 MHz.",10.0,3.0,13.0
Aprobación condicional de SpaceX para cobertura suplementaria satelital en EE. UU.,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Starlink, Satélites Gen2, D2D, NTN, LEO, Wireless Emergency Alerts (WEA), SMS","PCS G Block, 1910–1915 MHz (earth-to-space), 1990–1995 MHz (space-to-earth)","Conectividad satelital, NTN y D2D; tecnologías: Starlink, Satélites Gen2, D2D, NTN; bandas: PCS G Block, 1910–1915 MHz (earth-to-space), 1990–1995 MHz (space-to-earth).",10.0,3.0,13.0
Apertura de la banda 3.8–4.2 GHz en Europa para redes 5G locales,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Redes inalámbricas de banda ancha","3.8–4.2 GHz, 4.2–4.4 GHz, 26 GHz, 3.4–3.8 GHz, 2.3 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Redes inalámbricas de banda ancha; bandas: 3.8–4.2 GHz, 4.2–4.4 GHz, 26 GHz, 3.4–3.8 GHz.",10.0,3.0,13.0
Gestión y esquemas de adjudicación del espectro radioeléctrico en Europa,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Servicios móviles, Radiodifusión, Servicios satelitales, Enlaces fijos punto a punto, Redes privadas","32 GHz, 10 GHz, 60 GHz, 70 GHz, 80 GHz, 26 GHz, 24.25–25.1 GHz, Bandas de dividendo digital","Conectividad satelital, NTN y D2D; tecnologías: Servicios móviles, Radiodifusión, Servicios satelitales, Enlaces fijos punto a punto; bandas: 32 GHz, 10 GHz, 60 GHz, 70 GHz.",10.0,3.0,13.0
Gestión y asignación de la banda 3.3-3.98 GHz para 5G en América,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 4G, IMT, WiMAX, Fixed Wireless Access, Satélites, Redes privadas","3.3–3.98 GHz, 3.5 GHz, 3.8 GHz, 3300–3800 MHz, 3300–3400 MHz, 3400–3600 MHz, 3600–3700 MHz, 3700–3800 MHz, 3450–3650 MHz, 3650–3900 MHz, 3900–3980 MHz, 410 MHz, 900 MHz, 26 GHz, 10150–10650 MHz, 6 GHz, 3700–4200 MHz","Conectividad satelital, NTN y D2D; tecnologías: 5G, 4G, IMT, WiMAX; bandas: 3.3–3.98 GHz, 3.5 GHz, 3.8 GHz, 3300–3800 MHz.",10.0,3.0,13.0
Gestión y asignación de espectro de ondas milimétricas en Canadá para 5G y 6G,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 6G, NTN, Spectrum sharing, Redes privadas, Non-standalone (NSA) architectures, mmWave","27.5–28.35 GHz, 26 GHz, 38 GHz band, mmWave, 24 GHz band","Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, NTN, Spectrum sharing; bandas: 27.5–28.35 GHz, 26 GHz, 38 GHz band, mmWave.",10.0,3.0,13.0
Aprobación del Programa Anual de Uso y Explotación de Bandas de Frecuencia (APFB) 2026 en México,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, Fixed Wireless Access (FWA), Redes de Comunicaciones Inalámbricas Inteligentes (IWC), Banda ancha móvil, Televisión digital terrestre, Radio AM/FM, Servicio Fijo por Satélite (FSS)","600 MHz, 614–698 MHz, 814–824 MHz, 859–869 MHz, 1850–1915 MHz, 1930–1995 MHz, 2300–2400 MHz, 2500–2690 MHz, 3400–3700 MHz, 10.15–10.65 GHz, 6 GHz, Banda AM, Banda FM","Conectividad satelital, NTN y D2D; tecnologías: 5G, Fixed Wireless Access (FWA), Redes de Comunicaciones Inalámbricas Inteligentes (IWC), Banda ancha móvil; bandas: 600 MHz, 614–698 MHz, 814–824 MHz, 859–869 MHz.",10.0,3.0,13.0
Aprobación del programa de uso del espectro radioeléctrico en México para 2026,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Radio AM, Radio FM, Televisión Digital Terrestre (DTT), Telecomunicaciones inalámbricas fijas, Telecomunicaciones inalámbricas móviles","600 MHz, Frecuencias de radio AM, Frecuencias de radio FM, Canales de televisión digital terrestre","Disponibilidad de espectro para IMT; tecnologías: 5G, Radio AM, Radio FM, Televisión Digital Terrestre (DTT); bandas: 600 MHz, Frecuencias de radio AM, Frecuencias de radio FM, Canales de televisión digital terrestre.",10.0,3.0,13.0
Armonización del espectro radioeléctrico en la Unión Europea,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Wireless broadband, 5G, UMTS, LTE, WiMAX, IoT, RFID, GSM-R, FRMCS, Mobile Satellite Services, PMSE, PPDR, M2M","470–852 MHz, 800 MHz, 700 MHz, 694–790 MHz, 874–876 MHz, 915–921 MHz, 874.4–880 MHz, 919.4–925 MHz, 1900–1910 MHz, 900 MHz, 1800 MHz, 1.9 GHz, 2 GHz, 2.6 GHz, 1427–1517 MHz (L-band), 1.5 GHz (1452–1492 MHz), 1710–1785 MHz, 1805–1880 MHz, 1920–1980 MHz, 2110–2170 MHz, 2010–2025 MHz, 1980–2010 MHz (S-band), 2170–2200 MHz (S-band), 2.3 GHz, 2500–2690 MHz, 3400–3800 MHz","Conectividad satelital, NTN y D2D; tecnologías: Wireless broadband, 5G, UMTS, LTE; bandas: 470–852 MHz, 800 MHz, 700 MHz, 694–790 MHz.",10.0,3.0,13.0
Asignación de espectro 3.5 GHz para 5G en Perú,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, LTE, 4G, 3G, 2G, Fixed Satellite Service (FSS)","3.5 GHz, 3.3–3.8 GHz, 6 GHz, 3.6–3.8 GHz, banda Ku, 11.7–12.2 GHz, 14.0–14.5 GHz, 10.95–11.2 GHz, 11.45–11.7 GHz, 13.75–14.0 GHz, C band, 3.8–4.2 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, LTE, 4G, 3G; bandas: 3.5 GHz, 3.3–3.8 GHz, 6 GHz, 3.6–3.8 GHz.",10.0,3.0,13.0
Asignación de espectro en la banda de 900 MHz para redes comunitarias y ISPs en Colombia,Armonización y gestión internacional,Gestión internacional del espectro,Seguimiento,Alta,1,1,Cullen International,"Internet fijo, Redes inalámbricas","900 MHz, 897–902 MHz, 942–947 MHz, 902–912 MHz, 947–957 MHz, 902–907 MHz, 947–952 MHz","Armonización y gestión internacional; tecnologías: Internet fijo, Redes inalámbricas; bandas: 900 MHz, 897–902 MHz, 942–947 MHz, 902–912 MHz.",10.0,3.0,13.0
Asignación de licencias locales de espectro en Eslovenia,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,Redes privadas,"2.3 GHz, 3.5 GHz","Disponibilidad de espectro para IMT; tecnologías: Redes privadas; bandas: 2.3 GHz, 3.5 GHz.",10.0,3.0,13.0
Asignación de espectro para redes privadas en Argentina,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"4G, 5G, IoT, Redes privadas","2.3-2.4 GHz, 2300-2340 MHz, 2340-2360 MHz, 2360-2400 MHz","Disponibilidad de espectro para IMT; tecnologías: 4G, 5G, IoT, Redes privadas; bandas: 2.3-2.4 GHz, 2300-2340 MHz, 2340-2360 MHz, 2360-2400 MHz.",10.0,3.0,13.0
Asignación de espectro regional en Brasil para servicios móviles,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Redes móviles, 5G","700 MHz, 3.5 GHz","Disponibilidad de espectro para IMT; tecnologías: Redes móviles, 5G; bandas: 700 MHz, 3.5 GHz.",10.0,3.0,13.0
Asignación de espectro y bandas IMT para 5G en las Américas,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, IMT, Redes móviles, Conectividad inalámbrica","2.3 GHz, 3.5 GHz, AWS-3 band, 28 GHz, 38 GHz, 2 GHz, 600 MHz, 3.3–3.4 GHz, 3.6–3.7 GHz, 3.7–3.8 GHz, 4800–4990 MHz, 6425–7125 MHz, 10.0–10.5 GHz, 24 GHz band, 614–698 MHz, 1427–1518 MHz, 6 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, IMT, Redes móviles, Conectividad inalámbrica; bandas: 2.3 GHz, 3.5 GHz, AWS-3 band, 28 GHz.",10.0,3.0,13.0
Asignación y planificación de espectro para IMT y 5G,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, IMT, Redes móviles","2.3 GHz, 3.5 GHz, AWS-3 band, 28 GHz, 38 GHz, 2 GHz, 3.3–3.4 GHz, 3.6–3.7 GHz, 3.7–3.8 GHz, 4800–4990 MHz, 6425–7125 MHz, 10.0–10.5 GHz, 24 GHz band, 614–698 MHz, 1427–1518 MHz, 6 GHz, 600 MHz, Banda milimétrica","Disponibilidad de espectro para IMT; tecnologías: 5G, IMT, Redes móviles; bandas: 2.3 GHz, 3.5 GHz, AWS-3 band, 28 GHz.",10.0,3.0,13.0
Asignación y licenciamiento de espectro para enlaces de microondas en América,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Enlaces de microondas (punto a punto, punto a multipunto), Redes de fibra, IMT (International Mobile Telecommunications), Servicios satelitales, Redes privadas","1 GHz a 100 GHz, 300 MHz a 300 GHz, 6 GHz, Banda de 60 GHz, 10.7–11.7 GHz, 14.5–15.35 GHz, 17.7–19.7 GHz, 24.25–27.5 GHz, 37–40.5 GHz, 71–76 GHz, 81–86 GHz, Bandas por encima de 95 GHz","Conectividad satelital, NTN y D2D; tecnologías: Enlaces de microondas (punto a punto, punto a multipunto), Redes de fibra, IMT (International Mobile Telecommunications), Servicios satelitales; bandas: 1 GHz a 100 GHz, 300 MHz a 300 GHz, 6 GHz, Banda de 60 GHz.",10.0,3.0,13.0
Asignación y reordenamiento de la banda de 3.5 GHz en Perú,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 4G, Servicios satelitales fijos (FSS), Telecomunicaciones públicas","3.5 GHz, 3.3–3.7 GHz, 3.7–3.8 GHz, 3.6–3.8 GHz, banda Ku, C band (3.8–4.2 GHz)","Conectividad satelital, NTN y D2D; tecnologías: 5G, 4G, Servicios satelitales fijos (FSS), Telecomunicaciones públicas; bandas: 3.5 GHz, 3.3–3.7 GHz, 3.7–3.8 GHz, 3.6–3.8 GHz.",10.0,3.0,13.0
Asignación y reordenamiento de la banda de 3.5 GHz para servicios 5G en Perú,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 4G/LTE, Servicios Satelitales","3.5 GHz, banda Ku, Banda C","Conectividad satelital, NTN y D2D; tecnologías: 5G, 4G/LTE, Servicios Satelitales; bandas: 3.5 GHz, banda Ku, Banda C.",10.0,3.0,13.0
Consulta sobre el uso de la banda de 900 MHz para internet fijo local en áreas rurales de Colombia,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Internet fijo, Redes inalámbricas, Estaciones base móviles",900 MHz,"Disponibilidad de espectro para IMT; tecnologías: Internet fijo, Redes inalámbricas, Estaciones base móviles; bandas: 900 MHz.",10.0,3.0,13.0
Cambio del plan de banda de 2.6 GHz en Canadá a bloques TDD no pareados,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, 6G, FDD, TDD, Redes inalámbricas","2.6 GHz, 2500–2690 MHz, 2500–2570 MHz","Disponibilidad de espectro para IMT; tecnologías: 5G, 6G, FDD, TDD; bandas: 2.6 GHz, 2500–2690 MHz, 2500–2570 MHz.",10.0,3.0,13.0
Comercialización y arrendamiento de espectro radioeléctrico (Spectrum Trading),Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Redes móviles, Acceso inalámbrico fijo (FWA), Wimax, 5G","3.5 GHz, 700 MHz, 1900 MHz, 2.5 GHz, Banda AWS, PCS-G","Disponibilidad de espectro para IMT; tecnologías: Redes móviles, Acceso inalámbrico fijo (FWA), Wimax, 5G; bandas: 3.5 GHz, 700 MHz, 1900 MHz, 2.5 GHz.",10.0,3.0,13.0
Compartición de espectro entre servicios móviles y otros servicios,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Spectrum sharing, Wi-Fi, 5G, Redes móviles, D2D, Radio cognitiva, Redes privadas","2.3 GHz, 2.4 GHz, 5 GHz, 6 GHz, 1800 MHz, 3.8-4.2 GHz, 26 GHz, UHF, 800 MHz, 700 MHz, 1427-1518 MHz, 3.5 GHz","Conectividad satelital, NTN y D2D; tecnologías: Spectrum sharing, Wi-Fi, 5G, Redes móviles; bandas: 2.3 GHz, 2.4 GHz, 5 GHz, 6 GHz.",10.0,3.0,13.0
Compartición de espectro radioeléctrico y sus modelos regulatorios,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, LTE, 2G/3G/4G, Redes de acceso radio (RAN sharing), Redes de núcleo multi-operador (MOCN), Radio cognitiva, Banda ancha inalámbrica","700 MHz, 800 MHz, 900 MHz, 1427–1518 MHz, 1800 MHz, 2.1 GHz, 2.3–2.4 GHz, 2.6 GHz, 3.5 GHz, 3.8–4.2 GHz, 5 GHz, 5.8 GHz, 24.25–26.5 GHz, 26 GHz, 57–66 GHz, UHF","Conectividad satelital, NTN y D2D; tecnologías: 5G, LTE, 2G/3G/4G, Redes de acceso radio (RAN sharing); bandas: 700 MHz, 800 MHz, 900 MHz, 1427–1518 MHz.",10.0,3.0,13.0
Concesión de espectro adicional en Panamá para Tigo,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Telefonía inalámbrica, Datos móviles, IMT, Redes móviles","1900 MHz, 1900–1905 MHz, 1980–1985 MHz, Espectro de banda media","Disponibilidad de espectro para IMT; tecnologías: Telefonía inalámbrica, Datos móviles, IMT, Redes móviles; bandas: 1900 MHz, 1900–1905 MHz, 1980–1985 MHz, Espectro de banda media.",10.0,3.0,13.0
