tecnologia,count
3GPP Release 17,1
PCS,1
Estaciones base móviles,1
Radiodifusión de TV,1
Radio digital,1
Redes industriales,1
Fixed broadband,1
Pay TV,1
VoIP,1
Smart meters,1
Redes inalámbricas de banda ancha,1
Quantum,1
Cloud,1
Edge services,1
Wireless Telegraphy,1
Comunicaciones inalámbricas,1
Servicios móviles satelitales (MSS),1
Dispositivos con SIM,1
Transmisiones satelitales,1
Radars (control de tráfico aéreo),1
4G LTE,1
Redes de Comunicaciones Inalámbricas Inteligentes (IWC),1
Televisión digital terrestre,1
Radio AM/FM,1
Telefonía inalámbrica,1
Datos móviles,1
Redes móviles celulares,1
Sistemas terrestres,1
Internet satelital,1
Servicios Satelitales,1
Telecomunicaciones públicas,1
Agregación de portadoras (Carrier aggregation),1
3GPP Release 15,1
Aplicaciones de baja potencia (LPI),1
Aplicaciones de muy baja potencia (VLP),1
Fixed-Satellite Service (FSS),1
Dense Wavelength Division Multiplexing (DWDM),1
Optical Line Amplifiers (OLA),1
Gigabit Passive Optical Network (GPON),1
Redes seguras,1
Carrier Aggregation,1
Mobile telephony,1
Internet access and data transmission,1
Servicios de comunicación electrónica inalámbrica,1
Nuevas tecnologías inalámbricas,1
Satélites Gen2,1
Wireless Emergency Alerts (WEA),1
SMS,1
"Satélites (GSO, NGSO, FSS, alta capacidad)",1
ESIMs (Earth Stations in Motion),1
Hardware de alta frecuencia,1
Mobile-satellite services (MSS),1
Advanced Wireless Service (AWS-4),1
Fixed Wireless Broadband,1
Redes inalámbricas avanzadas,1
Telecomunicaciones inalámbricas,1
Direct-to-Cell (D2C),1
Mobile Virtual Network Operator (MVNO),1
Tecnología satelital,1
Servicios móviles terrestres,1
Advanced Wireless Services (AWS-3),1
Servicios inalámbricos avanzados,1
Estaciones base,1
Narrowband,1
SMR,1
B/ILT,1
Wireless networks,1
MVNO (Mobile Virtual Network Operator),1
Cobertura suplementaria desde el espacio (SCS),1
Tecnologías de gestión de interferencias,1
Constelaciones NGSO,1
Diseño satelital,1
Redes de cobre fijas,1
Video-on-demand (VoD),1
Líneas arrendadas,1
Transporte y transmisión de datos de alta capacidad,1
Redes comunitarias,1
IPTV,1
Video on Demand (VoD),1
Over-the-top (OTT) services,1
Phased array antenna,1
Smartwatches,1
Chipsets,1
Sensing y comunicaciones integradas,1
IRIS²,1
EU Critical Communication System (EUCCS),1
Sistemas híbridos,1
Redes de conectividad digital,1
Servicios de distribución,1
Satellite services,1
Air traffic systems,1
Weather radar,1
Terrestrial IMT networks,1
Satellite systems/networks,1
Servicios de telecomunicaciones,1
Servicios de radiodifusión,1
Plataformas de gran altitud (globos estratosféricos),1
Radiocomunicaciones espaciales,1
Acceso inalámbrico móvil,1
Operadores móviles (MNO),1
Constelaciones satelitales,1
Sistemas de navegación por satélite,1
Inter-satellite links,1
Internet Protocol (IP),1
RAN platform,1
Programme Making and Special Events (PMSE),1
Sistemas de banda ancha inalámbrica terrestre,1
Integrated Sensing and Communications (ISC),1
Fibra óptica (FTTP),1
Cable Docsis 3.1,1
VHCN (Very High Capacity Networks),1
GSM-R,1
FRMCS,1
Mobile Satellite Services,1
Redes de muy alta capacidad (VHCN),1
Redes móviles de banda ancha,1
Sistemas de alerta pública,1
Redes de cable,1
Redes de Muy Alta Capacidad (VHCN),1
"Redes de fibra óptica (FTTB, FTTH)",1
DSL,1
DOCSIS,1
Ethernet,1
Acceso Fijo Inalámbrico (FWA),1
Small cells (SAWAPs),1
Active Antenna Systems (AAS),1
Macro cells,1
Redes de acceso inalámbrico de área pequeña (SAWAPs),1
Máquina a máquina (M2M),1
Sistemas de antena activa (AAS),1
Servicios de comunicaciones electrónicas (ECS),1
Servicios de voz,1
Servicios de comunicación interpersonal,1
M2M (Machine-to-Machine),1
Redes de comunicaciones electrónicas,1
Tecnología móvil,1
Tecnologías cableadas,1
Acceso a internet de banda ancha,1
MEO,1
Servicios Satelitales Fijos (FSS),1
Infraestructura Europea de Comunicaciones Cuánticas (EuroQCI),1
Sistemas de comunicación híbridos (satélite y componentes terrestres complementarios),1
WAS,1
Wireless audio microphones (PMSE),1
Wireless electronic communications networks (ECNs),1
High efficiency video coding (HEVC),1
Ultra-high definition (UHD),1
Mobile applications,1
Wind profiler radars,1
Radio astronomy,1
NGSO (Non-Geostationary) systems,1
FSS (Fixed Satellite Service),1
MSS (Mobile Satellite Service),1
EESS (Earth Exploration Satellite Service),1
Comunicaciones móviles a bordo (aeronáuticas y marítimas),1
UWB (Ultra-Wide Band),1
ISAC (Integrated Sensing and Communications),1
Backhaul,1
AFC (Automated Frequency Coordination),1
FSS,1
HIBS,1
NFV/SDN,1
Satélite integrado a redes móviles,1
MFCN,1
Caching,1
API,1
LPWAN,1
TDT,1
Data centers,1
VHF,1
Radioaltímetros,1
PNT/GNSS,1
SAS,1
GNSS/PNT,1
2G/3G,1
Guerra electrónica,1
MRSS,1
EMBB,1
AR/VR,1
AGVs,1
Realidad Virtual,1
Vehículos conectados,1
Mobile Edge Computing,1
ViLTE,1
IMS,1
RCS,1
SIP,1
IP,1
AR,1
XR,1
OTT services,1
CS-fallback,1
VoNR,1
IMS Data Channel,1
Web technologies,1
Internet móvil,1
Redes no públicas,1
Cloud storage,1
Redes locales,1
