alignment_id,project_id,source_document,pmge_line,project_name,policy_activity_id,policy_name,policy_activity_name,alignment_level,observation,suggested_action,alignment_score,score_label
PMGE-POL-0019,PMGE-007,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis y revisión de la contraprestación económica aplicable a sistemas Punto Multipunto,ACT-019,Política de espectro 2025 - 2028,"Se instalará una mesa de trabajo con entidades públicas que hagan uso de servicios de comunicaciones inalámbricas para sus actividades y que presten servicios públicos como educación, seguridad, transporte, servicios públicos domiciliarios, etc.",Alta,"Coincidencia semántica por Datos IA gobernanza, actividades, datos, espectro.",Articular cronograma y entregables,55.8,Media
PMGE-POL-0020,PMGE-007,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis y revisión de la contraprestación económica aplicable a sistemas Punto Multipunto,ACT-063,Política de espectro 2025 - 2028,"Se instalará una mesa de trabajo con entidades públicas que hagan uso de servicios de comunicaciones inalámbricas para sus actividades y que presten servicios públicos como educación, seguridad, transporte, servicios públicos domiciliarios, etc.",Alta,"Coincidencia semántica por Datos IA gobernanza, actividades, datos, espectro.",Articular cronograma y entregables,55.8,Media
PMGE-POL-0021,PMGE-007,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis y revisión de la contraprestación económica aplicable a sistemas Punto Multipunto,ACT-057,PETIC 2025-2028 ANE,"""Extracción, transformación/calidad, carga de datos para análisis de estos."" (Analítica de datos aplicada a mediciones de espectro)",Parcial,"Coincidencia semántica por Datos IA gobernanza, analisis, datos, espectro.",Articular cronograma y entregables,49.75,Baja
PMGE-POL-0022,PMGE-008,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Gestión del espectro para servicios esenciales: Caracterización y Diagnóstico de uso,ACT-002,Estrategia Nacional Digital 2023 - 2026,"Establecer condiciones reglamentarias diferenciales a nivel local, regional y/o para casos de uso en la asignación de los permisos de uso del espectro radioeléctrico”",Alta,"Coincidencia semántica por Datos IA gobernanza, datos, eficiente, espectro.",Articular cronograma y entregables,55.8,Media
PMGE-POL-0023,PMGE-008,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Gestión del espectro para servicios esenciales: Caracterización y Diagnóstico de uso,ACT-045,Plan Estratégico ANE 2025-2028,"OBJETIVOS ESPECIFICOS: 
1.1.	Generar y promover los espacios que faciliten esquemas innovadores para la gestión de espectro.

LINEAS DE ACCION:
1.1.1. Gestión del entorno a nivel nacional e internacional",Parcial,"Coincidencia semántica por Datos IA gobernanza, Internacional, datos, espectro.",Articular cronograma y entregables,54.33,Media
PMGE-POL-0024,PMGE-008,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Gestión del espectro para servicios esenciales: Caracterización y Diagnóstico de uso,ACT-089,Plan Estratégico ANE 2025-2028,"OBJETIVOS ESPECIFICOS: 
1.1.	Generar y promover los espacios que faciliten esquemas innovadores para la gestión de espectro.

LINEAS DE ACCION:
1.1.1. Gestión del entorno a nivel nacional e internacional",Parcial,"Coincidencia semántica por Datos IA gobernanza, Internacional, datos, espectro.",Articular cronograma y entregables,54.33,Media
PMGE-POL-0025,PMGE-009,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Observatorio de Mecanismos Flexibles de Acceso y Uso del Espectro Radioeléctrico,ACT-007,Plan Integral de Expansión de Conectividad Digital,"Adoptar las medidas legales necesarias para promover la implementación de mecanismos flexibles e innovadores de acceso al espectro radioeléctrico (mercados secundarios de espectro): Implementar en forma integral los mercados secundarios de espectro radioeléctrico, en línea con las mejores prácticas internacionales.",Alta,"Coincidencia semántica por Compartición flexible, Datos IA gobernanza, Internacional, acceso.",Articular cronograma y entregables,61.27,Media
PMGE-POL-0026,PMGE-009,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Observatorio de Mecanismos Flexibles de Acceso y Uso del Espectro Radioeléctrico,ACT-017,Política de espectro 2025 - 2028,Analizar de forma detallada las tecnologías disponibles para soportar la implementación de soluciones inalámbricas de conectividad en zonas rurales y apartadas.,Alta,"Coincidencia semántica por Datos IA gobernanza, analizar, datos, demanda.",Articular cronograma y entregables,59.27,Media
PMGE-POL-0027,PMGE-009,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Observatorio de Mecanismos Flexibles de Acceso y Uso del Espectro Radioeléctrico,ACT-061,Política de espectro 2025 - 2028,Analizar de forma detallada las tecnologías disponibles para soportar la implementación de soluciones inalámbricas de conectividad en zonas rurales y apartadas.,Alta,"Coincidencia semántica por Datos IA gobernanza, analizar, datos, demanda.",Articular cronograma y entregables,59.27,Media
PMGE-POL-0028,PMGE-010,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Lineamientos Estratégicos para habilitar la conectividad satelital Direct-to-Device (D2D) en el país,ACT-028,Política de espectro 2025 - 2028,El MinTIC y la ANE formularán una estrategia de participación activa del país en los esfuerzos internacionales tendientes a establecer los criterios técnicos para la utilización del componente satelital de las IMT a través de soluciones Direct-to-Device (D2D).,Alta,"Coincidencia semántica por Datos IA gobernanza, IMT 5G bandas, Internacional, Satelital NTN D2D.",Articular cronograma y entregables,60.61,Media
PMGE-POL-0029,PMGE-010,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Lineamientos Estratégicos para habilitar la conectividad satelital Direct-to-Device (D2D) en el país,ACT-072,Política de espectro 2025 - 2028,El MinTIC y la ANE formularán una estrategia de participación activa del país en los esfuerzos internacionales tendientes a establecer los criterios técnicos para la utilización del componente satelital de las IMT a través de soluciones Direct-to-Device (D2D).,Alta,"Coincidencia semántica por Datos IA gobernanza, IMT 5G bandas, Internacional, Satelital NTN D2D.",Articular cronograma y entregables,60.61,Media
PMGE-POL-0030,PMGE-010,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Lineamientos Estratégicos para habilitar la conectividad satelital Direct-to-Device (D2D) en el país,ACT-036,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, datos, espectro.",Articular cronograma y entregables,56.62,Media
PMGE-POL-0031,PMGE-011,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Evaluación de la implementación de la Resolución MinTIC 376 de 2022,ACT-027,Política de espectro 2025 - 2028,"El MinTIC, con el apoyo de la ANE, realizará una evaluación de impacto de la implementación de la Resolución MinTIC 376 de 2022, y de encontrarse pertinente realizará las modificaciones que se requieran en el régimen contenido en dicha norma.",Alta,"Coincidencia semántica por 2022, Datos IA gobernanza, Satelital NTN D2D, datos.",Articular cronograma y entregables,61.78,Media
PMGE-POL-0032,PMGE-011,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Evaluación de la implementación de la Resolución MinTIC 376 de 2022,ACT-071,Política de espectro 2025 - 2028,"El MinTIC, con el apoyo de la ANE, realizará una evaluación de impacto de la implementación de la Resolución MinTIC 376 de 2022, y de encontrarse pertinente realizará las modificaciones que se requieran en el régimen contenido en dicha norma.",Alta,"Coincidencia semántica por 2022, Datos IA gobernanza, Satelital NTN D2D, datos.",Articular cronograma y entregables,61.78,Media
PMGE-POL-0033,PMGE-011,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Evaluación de la implementación de la Resolución MinTIC 376 de 2022,ACT-004,Plan Integral de Expansión de Conectividad Digital,"Implementación de un observatorio de valoración del espectro radioeléctrico: Hacer un seguimiento más detallado al comportamiento de los precios de espectro a nivel internacional, que sea insumo para la estimación de los valores asociados a los permisos de uso de espectro, con un enfoque de maximización del bienestar social",Parcial,"Coincidencia semántica por Datos IA gobernanza, asociados, conectividad, datos.",Articular cronograma y entregables,53.84,Media
PMGE-POL-0034,PMGE-012,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Estudio para el aprovechamiento de soluciones satelitales en aplicaciones estratégicas,ACT-025,Política de espectro 2025 - 2028,"El MinTIC, con el apoyo de la ANE, definirá una estrategia que promueva el uso de soluciones satelitales para facilitar el acceso a Internet, la prestación de servicios de radiodifusión por satélite, así como aplicaciones y usos de observación de la Tierra por satélite y la navegación, con base en las necesidades de este tipo de usos a nivel nacional",Alta,"Coincidencia semántica por Datos IA gobernanza, Satelital NTN D2D, acceso, aplicaciones.",Articular cronograma y entregables,62.76,Media
PMGE-POL-0035,PMGE-012,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Estudio para el aprovechamiento de soluciones satelitales en aplicaciones estratégicas,ACT-069,Política de espectro 2025 - 2028,"El MinTIC, con el apoyo de la ANE, definirá una estrategia que promueva el uso de soluciones satelitales para facilitar el acceso a Internet, la prestación de servicios de radiodifusión por satélite, así como aplicaciones y usos de observación de la Tierra por satélite y la navegación, con base en las necesidades de este tipo de usos a nivel nacional",Alta,"Coincidencia semántica por Datos IA gobernanza, Satelital NTN D2D, acceso, aplicaciones.",Articular cronograma y entregables,62.76,Media
PMGE-POL-0036,PMGE-012,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Estudio para el aprovechamiento de soluciones satelitales en aplicaciones estratégicas,ACT-002,Estrategia Nacional Digital 2023 - 2026,"Establecer condiciones reglamentarias diferenciales a nivel local, regional y/o para casos de uso en la asignación de los permisos de uso del espectro radioeléctrico”",Alta,"Coincidencia semántica por Datos IA gobernanza, datos, espectro, gobernanza.",Articular cronograma y entregables,55.8,Media
PMGE-POL-0037,PMGE-013,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Estudio de necesidades de espectro para el desarrollo de aplicaciones del Servicio Fijo por Satélite (SFS) de banda ancha,ACT-025,Política de espectro 2025 - 2028,"El MinTIC, con el apoyo de la ANE, definirá una estrategia que promueva el uso de soluciones satelitales para facilitar el acceso a Internet, la prestación de servicios de radiodifusión por satélite, así como aplicaciones y usos de observación de la Tierra por satélite y la navegación, con base en las necesidades de este tipo de usos a nivel nacional",Parcial,"Coincidencia semántica por Datos IA gobernanza, Satelital NTN D2D, acceso, aplicaciones.",Articular cronograma y entregables,53.84,Media
PMGE-POL-0038,PMGE-013,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Estudio de necesidades de espectro para el desarrollo de aplicaciones del Servicio Fijo por Satélite (SFS) de banda ancha,ACT-069,Política de espectro 2025 - 2028,"El MinTIC, con el apoyo de la ANE, definirá una estrategia que promueva el uso de soluciones satelitales para facilitar el acceso a Internet, la prestación de servicios de radiodifusión por satélite, así como aplicaciones y usos de observación de la Tierra por satélite y la navegación, con base en las necesidades de este tipo de usos a nivel nacional",Parcial,"Coincidencia semántica por Datos IA gobernanza, Satelital NTN D2D, acceso, aplicaciones.",Articular cronograma y entregables,53.84,Media
PMGE-POL-0039,PMGE-013,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Estudio de necesidades de espectro para el desarrollo de aplicaciones del Servicio Fijo por Satélite (SFS) de banda ancha,ACT-009,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,"MINTIC con apoyo de la ANE y CRC, definirá instrumentos normativos o desarrollarán iniciativas que permitan establecer condiciones técnicas para el uso de bandas de frecuencias en la prestación de servicio de banda ancha inalámbrica. Para esto se considerará, entre otros tipos de uso, el acceso fijo inalámbrico, redes punto multipunto y nuevas tecnologías satelitales, los cuales habilitan las condiciones de acceso a internet para el uso y desarrollo de nuevas tecnologías, dentro de las cuales se encuentran los sistemas de IA en los municipios, áreas no municipalizadas y zonas rurales o apartadas.",Parcial,"Coincidencia semántica por Datos IA gobernanza, Satelital NTN D2D, acceso, ancha.",Articular cronograma y entregables,53.13,Media
PMGE-POL-0040,PMGE-014,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Insumo para la definición de la Estrategia Nacional para la explotación y gestión del Recurso Órbita Espectro (ROE) en Colombia,ACT-036,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, colombia, coordinacion.",Articular cronograma y entregables,61.21,Media
PMGE-POL-0041,PMGE-014,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Insumo para la definición de la Estrategia Nacional para la explotación y gestión del Recurso Órbita Espectro (ROE) en Colombia,ACT-080,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, colombia, coordinacion.",Articular cronograma y entregables,61.21,Media
PMGE-POL-0042,PMGE-014,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Insumo para la definición de la Estrategia Nacional para la explotación y gestión del Recurso Órbita Espectro (ROE) en Colombia,ACT-026,Política de espectro 2025 - 2028,"El MinTIC, con el apoyo de la ANE, fortalecerá el proceso de gestión del Recurso Órbita Espectro (ROE), y se desarrollarán capacidades internas en ambas entidades, para realizar una efectiva coordinación del ROE colombiano vigente ante la UIT, y la posible necesidad de solicitar ROE adicional para atender las necesidades nacionales a futuro.",Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, Satelital NTN D2D, ante.",Articular cronograma y entregables,61.0,Media
PMGE-POL-0043,PMGE-015,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Investigación sobre la convivencia técnica de redes IMT en la banda de 7/8 GHz como preparación a la CMR 27,ACT-036,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, armonizacion, colombia.",Articular cronograma y entregables,56.62,Media
PMGE-POL-0044,PMGE-015,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Investigación sobre la convivencia técnica de redes IMT en la banda de 7/8 GHz como preparación a la CMR 27,ACT-080,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, armonizacion, colombia.",Articular cronograma y entregables,56.62,Media
PMGE-POL-0045,PMGE-015,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Investigación sobre la convivencia técnica de redes IMT en la banda de 7/8 GHz como preparación a la CMR 27,ACT-028,Política de espectro 2025 - 2028,El MinTIC y la ANE formularán una estrategia de participación activa del país en los esfuerzos internacionales tendientes a establecer los criterios técnicos para la utilización del componente satelital de las IMT a través de soluciones Direct-to-Device (D2D).,Alta,"Coincidencia semántica por Datos IA gobernanza, IMT 5G bandas, Internacional, Satelital NTN D2D.",Articular cronograma y entregables,41.07,Baja
PMGE-POL-0046,PMGE-016,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Consolidación de análisis técnicos para la definición de la posición de Colombia en la Conferencia Mundial de Radiocomunicaciones 2027 (CMR-27),ACT-036,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, colombia, datos.",Articular cronograma y entregables,61.21,Media
PMGE-POL-0047,PMGE-016,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Consolidación de análisis técnicos para la definición de la posición de Colombia en la Conferencia Mundial de Radiocomunicaciones 2027 (CMR-27),ACT-080,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, colombia, datos.",Articular cronograma y entregables,61.21,Media
PMGE-POL-0048,PMGE-016,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Consolidación de análisis técnicos para la definición de la posición de Colombia en la Conferencia Mundial de Radiocomunicaciones 2027 (CMR-27),ACT-033,Política de espectro 2025 - 2028,Formulación e implementación de una Estrategia de gestión internacional espectro que tenga en consideración las prioridades y objetivos de la gestión de espectro para Colombia.,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, colombia, datos.",Articular cronograma y entregables,58.0,Media
PMGE-POL-0049,PMGE-017,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis de alternativas inalámbricas para la mitigación de brechas de cobertura derivadas del cese de emisiones analógicas de televisión,ACT-017,Política de espectro 2025 - 2028,Analizar de forma detallada las tecnologías disponibles para soportar la implementación de soluciones inalámbricas de conectividad en zonas rurales y apartadas.,Parcial,"Coincidencia semántica por Datos IA gobernanza, datos, disponibilidad, espectro.",Articular cronograma y entregables,52.92,Media
PMGE-POL-0050,PMGE-017,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis de alternativas inalámbricas para la mitigación de brechas de cobertura derivadas del cese de emisiones analógicas de televisión,ACT-061,Política de espectro 2025 - 2028,Analizar de forma detallada las tecnologías disponibles para soportar la implementación de soluciones inalámbricas de conectividad en zonas rurales y apartadas.,Parcial,"Coincidencia semántica por Datos IA gobernanza, datos, disponibilidad, espectro.",Articular cronograma y entregables,52.92,Media
PMGE-POL-0051,PMGE-017,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis de alternativas inalámbricas para la mitigación de brechas de cobertura derivadas del cese de emisiones analógicas de televisión,ACT-038,Política de espectro 2025 - 2028,"la ANE y el MinTIC formularán conjuntamente, durante 2025, un plan de digitalización de procesos y herramientas que soportan la gestión de espectro con una visión de 5 años, en línea con los avances en la implementación del Sistema Único de Gestión de Espectro (SUGERE)",Parcial,"Coincidencia semántica por Datos IA gobernanza, datos, espectro, gobernanza.",Articular cronograma y entregables,51.97,Media
